|['neutrino', 'rt @royboy70: @brisbanelions rocky and zorko pressers talking about lions needing to be harder at contest, was just that, talkembarrassing\xe2\x80\xa6', 'Sat May 02 09:27:52 +0000 2015']|
|['positive', 'come on @brisbanelions we have to come back and win this one!! aflsunslions golions ', 'Sat May 02 08:06:31 +0000 2015']|
|['neutrino', '@goldcoastsuns should have blown away @brisbanelions in q2', 'Sat May 02 07:48:14 +0000 2015']|
|['negative', 'harris andrews killing it today for us well done @brisbanelions golions aflsunslions', 'Sat May 02 07:16:54 +0000 2015']|
|['negative', 'aflsunslions trying to be positive for the @brisbanelions but both sides are way off their game. a comedy of skill errors. golions', 'Sat May 02 07:08:52 +0000 2015']|
|['positive', "here's hoping rockliff @brisbanelions is ok after getting knocked out in q1", 'Sat May 02 07:08:16 +0000 2015']|
|['positive', "@brisbanelions can't understand why they didn't stop play when stretcher was called. hope @rockwiz38 is okay. golions aflsunslions", 'Sat May 02 06:47:03 +0000 2015']|
|['positive', "@brisbanelions can't be there but will keep up with twitter from italy!! aflsunslions prideinthejumper golions", 'Sat May 02 06:43:58 +0000 2015']|
|['negative', 'rt @brisbanelions: game time!! golions aflsunslions URL', 'Sat May 02 06:41:46 +0000 2015']|
|['negative', 'rt @brisbanelions: game time!! golions aflsunslions URL', 'Sat May 02 06:32:29 +0000 2015']|
|['positive', 'rt @brisbanelions: the @gatorade is one ice, nearly time to do the same to the suns! golions aflsunslions URL', 'Sat May 02 06:31:40 +0000 2015']|
|['negative', 'rt @brisbanelions: game time!! golions aflsunslions URL', 'Sat May 02 06:28:26 +0000 2015']|
|['negative', 'rt @brisbanelions: game time!! golions aflsunslions URL', 'Sat May 02 06:26:25 +0000 2015']|
|['negative', 'rt @brisbanelions: game time!! golions aflsunslions URL', 'Sat May 02 06:25:51 +0000 2015']|
|['negative', "rt @mel_wright: it's on... qclash golions @brisbanelions @courtz_hancock @afl aflsunslions URL", 'Sat May 02 05:31:30 +0000 2015']|
